,Unnamed: 0,Name,Price,Comments,Country,Store,price
86,86,THEFACESHOP 菲诗小铺 双头遮瑕棒 V201 4.3克+3.8克,¥59,3938,韩国,网易考拉自营,59.0
87,87,ESTĒE LAUDER 雅诗兰黛 持妆粉底液 #36-1w2 Sand 30毫升（压嘴/无压嘴）,¥298,3626,美国,网易考拉自营,298.0
88,88,考拉工厂店 闪耀双色便携气垫眼影,¥55,4188,中国,网易考拉自营,55.0
89,89,【双11前2小时第2件半价】【Mike代言】Mistine 蜜丝婷 浓黑银管防水不晕染眼线笔 1克/支,¥59,2972,泰国,网易考拉自营,59.0
90,90,MUJI 无印良品 天然化妆棉 165枚,¥23,3022,日本,网易考拉自营,23.0
91,91,BVLGARI 宝格丽 晶莹纯香女士淡香水 40毫升,¥248,4803,意大利,网易考拉自营,248.0
92,92,unicharm 尤妮佳 Silcot省1/2化妆水化妆棉 40枚  8盒装,¥92,19080,日本,网易考拉自营,92.0
93,93,MUJI 无印良品 洗脸专用打泡网,¥29,3719,日本,网易考拉自营,29.0
94,94,CANMAKE 井田 花瓣雕刻五色腮红 02号 6.3克,¥55,3045,日本,网易考拉自营,55.0
95,95,KISS ME 奇士美 花漾美姬自然卷翘纤长防水睫毛膏 6克,¥74,3164,日本,网易考拉自营,74.0
96,96,innisfree 悦诗风吟 生机自动眉笔  0.3克,¥39,6705,韩国,网易考拉自营,39.0
97,97,innisfree 悦诗风吟 控油矿物质隔离霜紫色款 40毫升,¥75,3091,韩国,网易考拉自营,75.0
98,98,FLOWFUSHI MOTE LINER 眼线液笔 0.55毫升,¥95,2942,日本,网易考拉自营,95.0
99,99,LΛNEIGE 兰芝 妆前雪纱丝柔防晒隔离气垫 （正装15克+替换装15克）,¥165,3711,韩国,网易考拉自营,165.0
100,100,ETUDE HOUSE 伊蒂之屋 睛彩自然眉笔,¥29,21947,韩国,网易考拉自营,29.0
101,101,【11.11前两小时248】LANCÔME 兰蔻 奇迹女士香水 30毫升,¥268,6923,法国,网易考拉自营,268.0
102,102,innisfree 悦诗风吟 控油矿物散粉 5克,¥49,4477,韩国,网易考拉自营,49.0
103,103,2件装 | Za 姬芮 新能真皙美白隔离霜 35克/件 SPF26+,¥129,3212,日本,网易考拉自营,129.0
104,104,考拉工厂店 柔和省水化妆棉 加大版 120片,¥29,1039,中国,网易考拉自营,29.0
105,105,SHISEIDO 资生堂 PREPARE修眉刀 T字刀头 3支,¥20,3689,日本,网易考拉自营,20.0
106,106,【遮瑕隔离】MISSHA 谜尚 魅力大红bb霜粉底液 SPF42 PA+++ 50毫升,¥62,25008,韩国,网易考拉自营,62.0
107,107,MAXFACTOR 蜜丝佛陀 水漾触感粉底霜 暖杏色 11.5克,¥59,3825,美国,网易考拉自营,59.0
108,108,【11.11前两小时478】HERMÈS 爱马仕 大地男士淡香水 100毫升,¥529,4147,法国,网易考拉自营,529.0
109,109,Dior 迪奥 花漾甜心小姐 女士淡香水 50毫升,¥498,3663,法国,网易考拉自营,498.0
110,110,e.l.f.红糖唇部去角质磨砂膏 #LIP EXFOLIATOR 4.4克,¥39,2554,美国,网易考拉自营,39.0
111,111,ESTĒE LAUDER 雅诗兰黛 持妆粉底液 #62-2Co Cool Vanilla 30毫升,¥298,2897,美国,网易考拉自营,298.0
112,112,【11.11前2小时749元】【加强版】FOREO LUNA™露娜 MINI2Plus 净透舒缓洁面仪 粉色,¥1280,3069,瑞典,网易考拉自营,1280.0
113,113,too cool for school 牛奶染色保湿唇彩  9.5克,¥39,4026,韩国,网易考拉自营,39.0
114,114,D.U.P 透明假睫毛胶水 5毫升 睫毛界的501胶水,¥46,2406,日本,网易考拉自营,46.0
115,115,【双11前2小时第2件半价】【Mike代言】Mistine 蜜丝婷 三合一3D立体眉笔 2.45克/支,¥59,2254,泰国,网易考拉自营,59.0
116,116,MISSHA 谜尚 魅力润透妆前乳 40毫升,¥54,2867,韩国,网易考拉自营,54.0
117,117,BURBERRY 博柏利 红粉恋歌女士淡香水 50毫升 糖果般甜蜜,¥239,4399,英国,网易考拉自营,239.0
118,118,CANMAKE 井田 花瓣雕刻五色腮红  6克,¥59,11104,日本,网易考拉自营,59.0
119,119,SHISEIDO 资生堂 粉底液专用粉扑 119型,¥56,2331,日本,网易考拉自营,56.0
